settlement_id,ever_lit,ntl_max,ntl_2025,ntl_slope,ntl_p,light_trend
S0649,False,0.0,,,,dark
S0650,False,0.0,,,,dark
S0651,True,1.042,0.0,-0.016,0.3568,flat
S0652,False,0.0,,,,dark
S0653,True,5.243,3.548,0.2598,0.0027,brightening
S0654,False,0.0,,,,dark
S0655,True,1.025,0.829,0.0,0.0097,flat
S0656,True,2.576,2.576,0.1386,0.0,brightening
S0657,True,3.963,3.706,0.2096,0.0,brightening
S0658,True,1.866,1.52,0.0978,0.0001,brightening
S0659,True,1.025,0.0,0.0,0.062,flat
S0660,True,1.365,1.365,0.1184,0.0011,brightening
S0661,True,1.233,1.233,0.0,0.055,flat
S0662,True,1.025,0.0,0.0,0.6234,flat
S0663,True,0.903,0.0,0.0,0.6234,flat
S0664,True,1.961,1.563,0.0859,0.0009,brightening
S0665,True,0.864,0.688,0.019,0.0068,brightening
S0666,False,0.0,,,,dark
S0667,True,1.728,1.718,0.0595,0.0027,brightening
S0668,True,1.667,1.563,0.1374,0.0025,brightening
S0669,True,0.541,0.0,0.0,0.4227,flat
S0670,True,2.02,1.718,0.0623,0.0305,brightening
S0671,True,0.597,0.0,0.0,0.6234,flat
S0672,True,0.541,0.0,0.0,0.4227,flat
S0673,True,0.75,0.0,0.0,0.6234,flat
S0674,True,1.667,1.563,0.132,0.0041,brightening
S0675,True,2.02,1.712,0.0639,0.0305,brightening
S0676,True,1.667,1.563,0.1374,0.0025,brightening
S0677,True,1.084,0.883,0.0504,0.0,brightening
S0678,True,2.02,1.712,0.0636,0.0422,brightening
S0679,True,1.734,1.408,0.148,0.0001,brightening
S0680,True,1.161,0.996,0.0827,0.0,brightening
S0681,True,1.161,0.996,0.0819,0.0005,brightening
S0682,True,1.733,1.628,0.1124,0.0001,brightening
S0683,True,2.02,1.718,0.0623,0.0305,brightening
S0684,True,1.701,1.563,0.0448,0.1635,flat
S0685,True,1.961,1.563,0.0712,0.1,flat
S0686,True,1.824,1.628,0.1007,0.0001,brightening
S0687,True,1.961,1.563,0.073,0.0422,brightening
S0688,True,1.734,1.408,0.148,0.0001,brightening
S0689,True,1.734,1.408,0.148,0.0001,brightening
S0690,False,0.0,,,,dark
S0691,False,0.0,,,,dark
S0692,False,0.0,,,,dark
S0693,False,0.0,,,,dark
S0694,False,0.0,,,,dark
S0695,False,0.0,,,,dark
S0696,False,0.391,,,,dark
S0697,False,0.0,,,,dark
S0698,False,0.472,,,,dark
S0699,False,0.0,,,,dark
S0700,False,0.0,,,,dark
S0701,False,0.103,,,,dark
S0702,False,0.0,,,,dark
S0703,False,0.0,,,,dark
S0704,True,0.685,0.0,0.0,0.1088,flat
S0705,False,0.0,,,,dark
S0706,True,1.61,1.201,-0.1025,0.017,dimming
S0707,True,0.766,0.0,0.0,0.0979,flat
S0708,True,1.326,1.326,0.0524,0.0569,flat
S0709,True,2.327,2.044,0.0585,0.0573,flat
S0710,True,1.553,1.553,0.073,0.1246,flat
S0711,False,0.0,,,,dark
S0712,True,1.034,0.0,0.0,0.593,flat
S0713,True,2.327,2.044,0.0585,0.0573,flat
S0714,True,0.593,0.0,-0.0384,0.024,dimming
S0715,True,0.911,0.762,0.0,0.0352,flat
S0716,True,1.891,0.0,-0.0675,0.0778,flat
S0717,True,1.035,0.872,0.0611,0.0043,brightening
S0718,False,0.0,,,,dark
S0719,False,0.0,,,,dark
S0720,True,3.143,1.553,-0.119,0.015,dimming
S0721,True,3.143,1.553,-0.119,0.015,dimming
S0722,False,0.0,,,,dark
S0723,True,1.553,1.553,0.0585,0.1,flat
S0724,True,0.864,0.864,0.0,0.0392,flat
S0725,False,0.0,,,,dark
S0726,False,0.102,,,,dark
S0727,False,0.0,,,,dark
S0728,False,0.0,,,,dark
S0729,False,0.0,,,,dark
S0730,False,0.0,,,,dark
S0731,False,0.0,,,,dark
S0732,False,0.0,,,,dark
S0733,False,0.0,,,,dark
S0734,False,0.0,,,,dark
S0735,True,0.982,0.982,0.0,0.0097,flat
S0736,True,2.327,2.044,0.0585,0.0573,flat
S0737,False,0.0,,,,dark
S0738,False,0.0,,,,dark
S0739,False,0.0,,,,dark
S0740,False,0.0,,,,dark
S0741,False,0.0,,,,dark
S0742,True,0.613,0.0,-0.0257,0.0614,flat
S0743,True,0.783,0.0,0.0,0.4,flat
S0744,True,0.66,0.66,0.0,0.2287,flat
S0745,False,0.0,,,,dark
S0746,False,0.0,,,,dark
S0747,False,0.0,,,,dark
S0748,False,0.0,,,,dark
S0749,False,0.0,,,,dark
S0750,False,0.0,,,,dark
S0751,True,1.95,0.0,-0.1013,0.0438,dimming
S0752,True,0.967,0.924,0.0765,0.0077,brightening
S0753,True,0.982,0.982,0.0,0.0097,flat
S0754,True,0.982,0.982,0.0,0.0097,flat
S0755,True,0.982,0.982,0.0,0.0097,flat
S0756,True,1.538,1.538,0.1107,0.0,brightening
S0757,True,3.453,2.919,0.1254,0.0763,flat
S0758,True,1.132,1.132,0.1121,0.0001,brightening
S0759,True,1.009,0.727,0.0786,0.0167,brightening
S0760,True,4.34,2.697,0.0756,0.2519,flat
S0761,True,11.57,11.57,0.0004,1.0,flat
S0762,True,12.856,11.57,-0.1204,0.4354,flat
S0763,True,3.087,3.087,0.1189,0.0016,brightening
S0764,True,13.058,10.985,0.6957,0.0043,brightening
S0765,True,9.843,8.603,0.0108,0.8577,flat
S0766,True,4.34,2.697,0.0756,0.2519,flat
S0767,True,1.756,1.455,0.0771,0.0009,brightening
S0768,True,3.742,3.393,0.1835,0.0001,brightening
S0769,True,1.197,1.134,0.1164,0.0002,brightening
S0770,True,2.178,1.872,0.0896,0.1289,flat
S0771,True,1.651,1.651,0.0993,0.0,brightening
S0772,True,3.681,3.681,0.1765,0.0,brightening
S0773,True,4.791,4.791,0.2697,0.0,brightening
S0774,True,1.872,1.872,0.115,0.0,brightening
S0775,True,1.054,0.948,0.0852,0.0029,brightening
S0776,True,1.872,1.872,0.1516,0.0,brightening
S0777,True,2.096,2.096,0.1259,0.0,brightening
S0778,True,1.153,1.024,0.1014,0.0064,brightening
S0779,True,7.346,4.93,0.2144,0.0763,flat
S0780,True,6.388,5.763,0.1066,0.0216,brightening
S0781,True,6.388,5.763,0.1066,0.0216,brightening
S0782,False,0.0,,,,dark
S0783,False,0.0,,,,dark
S0784,False,0.0,,,,dark
S0785,False,0.0,,,,dark
S0786,False,0.0,,,,dark
S0787,False,0.0,,,,dark
S0788,False,0.0,,,,dark
S0789,False,0.0,,,,dark
S0790,False,0.0,,,,dark
S0791,False,0.0,,,,dark
S0792,True,1.076,1.014,0.0686,0.0032,brightening
S0793,False,0.0,,,,dark
S0794,False,0.0,,,,dark
S0795,False,0.0,,,,dark
S0796,False,0.0,,,,dark
